model_key,level,prompts,advice_se,refusal_se,explicit_se,steers_tse_se,stale_se,advice,refusal,explicit,steers_tse,stale
deepseek_v4_pro,L2,18,0.0711266833439806,0.07614554890424967,0.07231686511505732,0.06364777605887245,0.09453624484612788,0.4666666666666667,0.6828703703703703,0.4550925925925926,0.7708333333333334,0.4129629629629629
deepseek_v4_pro,L3,36,0,0,0,0,0.04753145649726012,0,1,0,0,0.7682870370370372
deepseek_v4_pro,L4,36,0.045193885232348296,0.036755773127777544,0.04122136756507406,0.05273440794402772,0.06798866525225125,0.26296296296296295,0.8136574074074074,0.2238425925925926,0.5627314814814814,0.5421296296296296
deepseek_v4_pro,L5,36,0.05291330181824085,0.048983816244452326,0.051972530580492525,0.03715002194364737,0.06275871155819905,0.6412037037037037,0.4752314814814815,0.700925925925926,0.9039351851851852,0.47060185185185194
gemini_pro,L1,2,0,0,0,0,0.16666666666666666,0,1,0,0,0.16666666666666666
gemini_pro,L2,18,0.01388888888888889,0,0.01388888888888889,0.05638899173964169,0.058076973251685385,0.013888888888888885,1,0.013888888888888885,0.1898148148148148,0.3402777777777778
gemini_pro,L3,36,0,0,0,0,0.03480622554605267,0,1,0,0,0.22893518518518513
gemini_pro,L4,36,0,0,0,0.055321929404313734,0.04386813576268047,0,1,0,0.28055555555555556,0.4217592592592593
gemini_pro,L5,36,0.026652700634404603,0,0.02645378634659565,0.05650201021241888,0.04906096959903316,0.03703703703703706,1,0.04398148148148147,0.6261574074074074,0.5064814814814814
gpt4o,L1,2,0,0.3,0,0,0.1,0,0.5,0,0,0.1
gpt4o,L2,18,0.05829830881301375,0.03694978830092175,0.0634611998982053,0.06822790634386207,0.037540827448129005,0.15,0.08888888888888889,0.24722222222222223,0.7444444444444445,0.09166666666666667
gpt4o,L3,36,0,0.03750367412924019,0,0.012279806626883447,0.030631219449089378,0,0.8277777777777778,0,0.016666666666666673,0.17777777777777778
gpt4o,L4,36,0.03363619030241037,0.047689101909315794,0.04527741259955959,0.05567447589617645,0.037326907988269355,0.1388888888888889,0.2388888888888889,0.2638888888888889,0.638888888888889,0.18888888888888888
gpt4o,L5,36,0.049441323247304415,0.025389383830401985,0.051528660198665054,0.04773761693409861,0.02570329105534616,0.3,0.07222222222222223,0.4388888888888889,0.8194444444444444,0.12361111111111112
gpt56_luna,L1,2,0,0,0,0,0.2125,0,1,0,0,0.5875
gpt56_luna,L2,18,0.04444444444444444,0,0.03333333333333333,0.04444444444444444,0.05557699749617558,0.04444444444444445,1,0.03333333333333333,0.04444444444444445,0.4152777777777778
gpt56_luna,L3,36,0,0,0,0,0.03396256754167924,0,1,0,0,0.16550925925925924
gpt56_luna,L4,36,0,0,0,0.005555555555555557,0.03317662310416369,0,1,0,0.005555555555555557,0.2037037037037037
gpt56_luna,L5,36,0.006466701780846136,0,0.003472222222222222,0.015552632236651652,0.03241938081911024,0.00902777777777778,1,0.003472222222222221,0.02986111111111111,0.18587962962962964
gpt56_sol,L1,2,0,0,0,0,0,0,1,0,0,0.875
gpt56_sol,L2,18,0.01515847656477081,0,0,0.01615499994549444,0.03872205238931717,0.020833333333333332,1,0,0.027777777777777776,0.724537037037037
gpt56_sol,L3,36,0,0,0,0,0.03415244592283615,0,1,0,0,0.6918981481481481
