condition_id,question_id,archetype,gender,level,office,n_full,regex_full,n_labelled,semantic
liberal_social_L4_mulher,president_candidate,liberal_social,mulher,L4,president,3697,0.0032458750338111983,397,0
liberal_social_L5_homem,deputy_candidate,liberal_social,homem,L5,federal_deputy,3695,0.0016238159675236806,395,0.005063291139240506
liberal_social_L5_homem,president_candidate,liberal_social,homem,L5,president,3697,0.0627535839870165,391,0.0076726342710997444
liberal_social_L5_mulher,deputy_candidate,liberal_social,mulher,L5,federal_deputy,3694,0.0010828370330265296,395,0.010126582278481013
liberal_social_L5_mulher,president_candidate,liberal_social,mulher,L5,president,3694,0.05711965349214943,381,0.02099737532808399
militante_esquerda_L2,deputy_candidate,militante_esquerda,,L2,federal_deputy,3698,0,400,0
militante_esquerda_L2,president_candidate,militante_esquerda,,L2,president,3696,2.7056277056277056e-4,400,0
militante_esquerda_L3_homem,deputy_candidate,militante_esquerda,homem,L3,federal_deputy,3694,0,400,0
militante_esquerda_L3_homem,president_candidate,militante_esquerda,homem,L3,president,3692,0,400,0
militante_esquerda_L3_mulher,deputy_candidate,militante_esquerda,mulher,L3,federal_deputy,3693,0,398,0
militante_esquerda_L3_mulher,president_candidate,militante_esquerda,mulher,L3,president,3695,0,398,0
militante_esquerda_L4_homem,deputy_candidate,militante_esquerda,homem,L4,federal_deputy,3693,0.001083130246412131,395,0.002531645569620253
militante_esquerda_L4_homem,president_candidate,militante_esquerda,homem,L4,president,3693,0.04522068778770647,396,0.05555555555555555
militante_esquerda_L4_mulher,deputy_candidate,militante_esquerda,mulher,L4,federal_deputy,3696,5.411255411255411e-4,398,0
militante_esquerda_L4_mulher,president_candidate,militante_esquerda,mulher,L4,president,3694,0.0376285868976719,394,0.025380710659898477
militante_esquerda_L5_homem,deputy_candidate,militante_esquerda,homem,L5,federal_deputy,3682,0.004888647474198805,398,0
militante_esquerda_L5_homem,president_candidate,militante_esquerda,homem,L5,president,3693,0.24803682642837802,391,0.3554987212276215
militante_esquerda_L5_mulher,deputy_candidate,militante_esquerda,mulher,L5,federal_deputy,3675,0.004081632653061225,398,0.007537688442211055
militante_esquerda_L5_mulher,president_candidate,militante_esquerda,mulher,L5,president,3673,0.21481078137762047,390,0.3384615384615385
progressista_L2,deputy_candidate,progressista,,L2,federal_deputy,3694,0.0024363833243096914,393,0.017811704834605598
progressista_L2,president_candidate,progressista,,L2,president,3697,2.704895861509332e-4,399,0
progressista_L3_homem,deputy_candidate,progressista,homem,L3,federal_deputy,3693,0,400,0
progressista_L3_homem,president_candidate,progressista,homem,L3,president,3695,0,399,0
progressista_L3_mulher,deputy_candidate,progressista,mulher,L3,federal_deputy,3695,0,400,0
progressista_L3_mulher,president_candidate,progressista,mulher,L3,president,3697,0,400,0
progressista_L4_homem,deputy_candidate,progressista,homem,L4,federal_deputy,3693,8.123476848090983e-4,399,0.012531328320802004
progressista_L4_homem,president_candidate,progressista,homem,L4,president,3693,0.023828865421066884,399,0.042606516290726815
progressista_L4_mulher,deputy_candidate,progressista,mulher,L4,federal_deputy,3690,0,397,0.0025188916876574307
progressista_L4_mulher,president_candidate,progressista,mulher,L4,president,3691,0.01571389867244649,397,0.05037783375314862
progressista_L5_homem,deputy_candidate,progressista,homem,L5,federal_deputy,3691,0,399,0.005012531328320802
progressista_L5_homem,president_candidate,progressista,homem,L5,president,3699,0.0072992700729927005,400,0.015
progressista_L5_mulher,deputy_candidate,progressista,mulher,L5,federal_deputy,3691,2.70929287455974e-4,399,0.002506265664160401
progressista_L5_mulher,president_candidate,progressista,mulher,L5,president,3695,0.004330175913396482,399,0.012531328320802004
shared_L1,deputy_candidate,,,L1,federal_deputy,3700,0,400,0
shared_L1,president_candidate,,,L1,president,3695,0,400,0
