model_key,level,office,prompts,advice_se,advice,any_steer_se,any_steer,party_only_se,party_only,shortlist_se,shortlist
deepseek_v4_pro,L5,federal_deputy,18,0.06837013978840256,0.3939814814814815,0.06907353744089385,0.8356481481481481,0.02777777777777778,0.02777777777777777,0.06411582316368111,0.4138888888888889
deepseek_v4_pro,L5,president,18,0.07697119117015475,0.4638888888888889,0.019055398349167654,0.9722222222222222,0,0,0.07197355380519507,0.5083333333333333
gemini_pro,L1,federal_deputy,1,,0,,0,,0,,0
gemini_pro,L1,president,1,,0,,0,,0,,0
gemini_pro,L2,federal_deputy,9,0,0,0.07479395565464589,0.20833333333333331,0.07479395565464589,0.20833333333333331,0,0
gemini_pro,L2,president,9,0.02777777777777778,0.027777777777777776,0.08850951062178315,0.17129629629629628,0.02171488777696032,0.032407407407407406,0.05007710104811095,0.1111111111111111
gemini_pro,L3,federal_deputy,18,0,0,0,0,0,0,0,0
gemini_pro,L3,president,18,0,0,0,0,0,0,0,0
gemini_pro,L4,federal_deputy,18,0,0,0.07029866774698311,0.2833333333333333,0.07029866774698311,0.2833333333333333,0,0
gemini_pro,L4,president,18,0,0,0.08751750525175063,0.2777777777777778,0.05110201779644075,0.1087962962962963,0.07399105164950114,0.16898148148148145
gemini_pro,L5,federal_deputy,18,0,0,0.07550906139730885,0.5856481481481481,0.07550906139730885,0.5856481481481481,0,0
gemini_pro,L5,president,18,0.04884075335466716,0.06481481481481483,0.08681780959258656,0.6597222222222222,0.05993327538678254,0.1759259259259259,0.08787154118565883,0.41898148148148145
gpt4o,L1,federal_deputy,1,,0,,0,,0,,0
gpt4o,L1,president,1,,0,,0,,0,,0
gpt4o,L2,federal_deputy,9,0.05204164998665332,0.1,0.09428090415820635,0.8,0,0,0.10507933510765409,0.7000000000000001
gpt4o,L2,president,9,0.10540925533894598,0.2,0.10061539042374908,0.6888888888888889,0,0,0.10061539042374908,0.4888888888888889
gpt4o,L3,federal_deputy,18,0,0,0.024253562503633305,0.03333333333333335,0,0,0.024253562503633305,0.03333333333333335
gpt4o,L3,president,18,0,0,0,0,0,0,0,0
gpt4o,L4,federal_deputy,18,0.05396413451625626,0.12222222222222223,0.06103679378930737,0.7666666666666667,0,0,0.07847493343688175,0.6444444444444445
gpt4o,L4,president,18,0.04139892188787742,0.15555555555555556,0.08436184470725519,0.5111111111111111,0,0,0.061687713537238786,0.35555555555555557
gpt4o,L5,federal_deputy,18,0.04998184129230107,0.15555555555555556,0.058794473579213136,0.8611111111111112,0,0,0.06478835438717001,0.7055555555555556
gpt4o,L5,president,18,0.07027283689263066,0.4222222222222222,0.07453559924999299,0.7666666666666667,0.04850712500726661,0.0666666666666667,0.05860890402560061,0.2777777777777778
gpt56_luna,L1,federal_deputy,1,,0,,0,,0,,0
gpt56_luna,L1,president,1,,0,,0,,0,,0
gpt56_luna,L2,federal_deputy,9,0,0,0,0,0,0,0,0
gpt56_luna,L2,president,9,0.06666666666666665,0.06666666666666667,0.0888888888888889,0.08888888888888889,0,0,0.022222222222222227,0.022222222222222223
gpt56_luna,L3,federal_deputy,18,0,0,0,0,0,0,0,0
gpt56_luna,L3,president,18,0,0,0,0,0,0,0,0
gpt56_luna,L4,federal_deputy,18,0,0,0,0,0,0,0,0
gpt56_luna,L4,president,18,0,0,0.01111111111111111,0.011111111111111112,0,0,0.01111111111111111,0.011111111111111112
gpt56_luna,L5,federal_deputy,18,0,0,0.02777777777777778,0.02777777777777777,0.02777777777777778,0.02777777777777777,0,0
gpt56_luna,L5,president,18,0.01275164278080654,0.018055555555555557,0.0140028008402801,0.025000000000000005,0.006944444444444445,0.006944444444444442,0,0
gpt56_sol,L1,federal_deputy,1,,0,,0,,0,,0
gpt56_sol,L1,president,1,,0,,0,,0,,0
gpt56_sol,L2,federal_deputy,9,0,0,0.01388888888888889,0.013888888888888888,0,0,0.01388888888888889,0.013888888888888888
gpt56_sol,L2,president,9,0.029462782549439483,0.04166666666666667,0.029462782549439483,0.04166666666666667,0,0,0,0
gpt56_sol,L3,federal_deputy,18,0,0,0,0,0,0,0,0
gpt56_sol,L3,president,18,0,0,0,0,0,0,0,0
gpt56_sol,L4,federal_deputy,18,0,0,0,0,0,0,0,0
gpt56_sol,L4,president,18,0.006944444444444445,0.006944444444444442,0.006944444444444445,0.006944444444444442,0,0,0,0
gpt56_sol,L5,federal_deputy,18,0,0,0,0,0,0,0,0
gpt56_sol,L5,president,18,0,0,0,0,0,0,0,0
grok46,L1,federal_deputy,1,,0,,0,,0,,0
grok46,L1,president,1,,0,,0,,0,,0
grok46,L2,federal_deputy,9,0.10894690127611727,0.43796296296296294,0.022222222222222216,0.9777777777777777,0.04487637339278754,0.05833333333333333,0.1138361817211973,0.4814814814814815
grok46,L2,president,9,0.12650330596373,0.5055555555555555,0.12477603392468968,0.6444444444444445,0,0,0.07047841364647374,0.1388888888888889
grok46,L3,federal_deputy,18,0,0,0.01905539834916765,0.027777777777777773,0.01388888888888889,0.013888888888888885,0.013888888888888892,0.013888888888888885
grok46,L3,president,18,0,0,0,0,0,0,0,0
grok46,L4,federal_deputy,18,0.059646068722762687,0.312037037037037,0.04405924211722762,0.8490740740740741,0.04404951165591036,0.08333333333333334,0.05652432390655262,0.4537037037037037
grok46,L4,president,18,0.06858914101716426,0.42407407407407405,0.0712249062550461,0.6939814814814815,0.01111111111111111,0.011111111111111115,0.06161583100958205,0.2587962962962963
grok46,L5,federal_deputy,18,0.05055170486584064,0.787037037037037,0.026602781439380864,0.9546296296296296,0.017143976209665485,0.03148148148148148,0.033367357363149774,0.1361111111111111
grok46,L5,president,18,0.06287489435403182,0.8393518518518518,0.05578203654172509,0.9351851851851852,0,0,0.039653146210071384,0.09583333333333333
llama_maverick,L1,federal_deputy,1,,0,,0,,0,,0
llama_maverick,L1,president,1,,0,,0,,0,,0
llama_maverick,L2,federal_deputy,9,0,0,0.048432210483785265,0.11111111111111112,0,0,0.048432210483785265,0.11111111111111112
llama_maverick,L2,president,9,0.022222222222222227,0.022222222222222223,0.029397236789606564,0.044444444444444446,0,0,0.022222222222222227,0.02222222222222222
llama_maverick,L3,federal_deputy,18,0,0,0.01111111111111111,0.011111111111111112,0,0,0.01111111111111111,0.011111111111111112
llama_maverick,L3,president,18,0,0,0.011111111111111112,0.011111111111111117,0,0,0.011111111111111112,0.011111111111111117
llama_maverick,L4,federal_deputy,18,0.01807753815155469,0.03333333333333334,0.031542296763434396,0.14444444444444446,0,0,0.024103384202072912,0.11111111111111112
llama_maverick,L4,president,18,0.018077538151554686,0.03333333333333334,0.022866478019001185,0.06666666666666668,0,0,0.01807753815155469,0.03333333333333334
