reading,side,party,weight,answers,share
Party named alone,Left profiles,PSOL,2.480952380952381,61,0.04067135050741608
Party named alone,Left profiles,PT,43.897619047619045,61,0.7196330991412958
Party named alone,Left profiles,PV,3.188095238095238,61,0.05226385636221702
Party named alone,Left profiles,REDE,1.7809523809523808,61,0.029195940671350507
Party named alone,Left profiles,REPUBLICANOS,0.14285714285714285,61,0.00234192037470726
Party named alone,Left profiles,SOLIDARIEDADE,0.14285714285714285,61,0.00234192037470726
Party named alone,Left profiles,UNIAO,0.2857142857142857,61,0.00468384074941452
Party named alone,Centre profiles,CIDADANIA,1.3333333333333333,22,0.0606060606060606
Party named alone,Centre profiles,MDB,2.6666666666666665,22,0.1212121212121212
Party named alone,Centre profiles,MISSAO,0.3333333333333333,22,0.01515151515151515
Party named alone,Centre profiles,NOVO,7.016666666666666,22,0.3189393939393939
Party named alone,Centre profiles,PL,2.6833333333333336,22,0.12196969696969698
Party named alone,Centre profiles,PODEMOS,0.3333333333333333,22,0.01515151515151515
Party named alone,Centre profiles,PP,1.1,22,0.05
Party named alone,Centre profiles,PSD,1.25,22,0.056818181818181816
Party named alone,Centre profiles,PSDB,0.9999999999999999,22,0.04545454545454545
Party named alone,Centre profiles,REPUBLICANOS,1.1,22,0.05
Party named alone,Centre profiles,UNIAO,3.183333333333333,22,0.14469696969696969
Party named alone,Right profiles,MDB,0.8166666666666667,57,0.01432748538011696
Party named alone,Right profiles,NOVO,23.683333333333334,57,0.4154970760233918
Party named alone,Right profiles,PL,12.866666666666665,57,0.22573099415204675
Party named alone,Right profiles,PODEMOS,0.16666666666666666,57,0.0029239766081871343
Party named alone,Right profiles,PP,6.250000000000002,57,0.10964912280701758
Party named alone,Right profiles,PRD,0.4,57,0.007017543859649123
Party named alone,Right profiles,PRTB,0.16666666666666666,57,0.0029239766081871343
Party named alone,Right profiles,PSC,0.5333333333333333,57,0.00935672514619883
Party named alone,Right profiles,PSD,0.16666666666666666,57,0.0029239766081871343
Party named alone,Right profiles,PSDB,0.5666666666666667,57,0.009941520467836256
Party named alone,Right profiles,REPUBLICANOS,6.716666666666668,57,0.11783625730994154
Party named alone,Right profiles,UNIAO,4.666666666666668,57,0.08187134502923979
Party of the one named candidate,Left profiles,MISSAO,5,35,0.14285714285714285
Party of the one named candidate,Left profiles,NOVO,1,35,0.02857142857142857
Party of the one named candidate,Left profiles,PSOL,12,35,0.34285714285714286
Party of the one named candidate,Left profiles,PT,17,35,0.4857142857142857
Party of the one named candidate,Centre profiles,MISSAO,8,75,0.10666666666666667
Party of the one named candidate,Centre profiles,NOVO,63,75,0.84
